zona,id_cont,calle,altura,capacidad,ruta,turno,lat,long,the_geom,cartodb_id,created_at,updated_at
2,S/N,SARMIENTO AV.,S/N,3200,,,,,,45,2014-05-15 20:08:00.314202+00,2014-05-15 20:08:00.378467+00
2,L2 00481,SARMIENTO AV.,S/N,3200,,,,,,46,2014-05-15 20:08:00.314202+00,2014-05-15 20:08:00.378467+00
2,S/N,"VERTIZ, VIRREY AV. ",2200,3200,,,,,,47,2014-05-15 20:08:00.314202+00,2014-05-15 20:08:00.378467+00
1,S/N,JUNCAL,1515,3200,RDCLM14,MAÑANA,,,,48,2014-05-15 20:08:00.314202+00,2014-05-15 20:08:00.378467+00
1,S/N,"PACHECO DE MELO, JOSE ANDRES",1567,3200,RDCLM14,MAÑANA,,,,49,2014-05-15 20:08:00.314202+00,2014-05-15 20:08:00.378467+00
1,S/N,"PACHECO DE MELO, JOSE ANDRES",1682,3200,RDCLM14,MAÑANA,,,,50,2014-05-15 20:08:00.314202+00,2014-05-15 20:08:00.378467+00
1,S/N,YRIGOYEN HIPOLITO AV.,200,3200,RDCLN01,NOCHE,,,,51,2014-05-15 20:08:00.314202+00,2014-05-15 20:08:00.378467+00
1,S/N,"ROCA, JULIO A., PRESIDENTE AV.",476,3200,RDCLN03,NOCHE,,,,52,2014-05-15 20:08:00.314202+00,2014-05-15 20:08:00.378467+00
1,S/N,"ROCA, JULIO A., PRESIDENTE AV.",478,3200,RDCLN03,NOCHE,,,,53,2014-05-15 20:08:00.314202+00,2014-05-15 20:08:00.378467+00
1,S/N,RIVEROLA PSJE.,133,3200,RDCLN08,NOCHE,,,,54,2014-05-15 20:08:00.314202+00,2014-05-15 20:08:00.378467+00
1,S/N,BALCARCE,S/N ,3200,RDCLN24,NOCHE,,,,55,2014-05-15 20:08:00.314202+00,2014-05-15 20:08:00.378467+00
2,S/N,MOLDES,1630,3200,,,-34.567837,-58.455867,0101000020E6100000AE2990D9593A4DC0B83A00E2AE4841C0,1982,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
2,L2 00702,UGARTECHE,3178,3200,,,-34.579757,-58.411525,0101000020E6100000423EE8D9AC344DC04450357A354A41C0,2549,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
2,L2 00846,GUEMES,4340,3200,,,-34.583133,-58.421588,0101000020E61000006A317898F6354DC0F31B261AA44A41C0,1563,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
2,L2 01010,ARCE,455,3200,,,-34.570206,-58.432015,0101000020E6100000D3307C444C374DC0D2FD9C82FC4841C0,611,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
2,S/N,VIDAL,2371,3200,,,-34.561613,-58.462521,0101000020E61000004B5B5CE3333B4DC015014EEFE24741C0,2592,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
2,S/N,ARCOS,1609,3200,,,-34.564859,-58.449936,0101000020E610000083A5BA8097394DC0F6ECB94C4D4841C0,625,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
2,L2 01206,ZAPATA,643,3200,,,-34.571044,-58.444828,0101000020E61000002C2CB81FF0384DC0DC4944F8174941C0,2661,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
2,L2 00238,GUATEMALA,4351,3200,,,-34.588782,-58.42076,0101000020E610000084BBB376DB354DC09B3C65355D4B41C0,1529,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
2,S/N,ELCANO AV.,2745,3200,,,-34.568339,-58.457616,0101000020E61000002C103D29933A4DC04B051555BF4841C0,1362,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
2,S/N,FOREST AV.,720,3200,,,-34.583979,-58.45517,0101000020E6100000670FB402433A4DC08046E9D2BF4A41C0,1403,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
2,L2 00811,ARMENIA,2489,3200,,,-34.5838,-58.418508,0101000020E6100000A48E8EAB91354DC0D0B359F5B94A41C0,690,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
2,L2 00652,LAFINUR,2988,3200,,,-34.580735,-58.414665,0101000020E6100000DEE522BE13354DC03F524486554A41C0,1798,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
