etapa,calle,nro,id,direccion_normalizada,x,y,lat,long,the_geom,cartodb_id,created_at,updated_at
Etapa 1 Recorridos Zona 1 (MTE),Arevalo,1834 aprox,529,AREVALO 1834,102206.335537,105481.863188,-34.579852,-58.439254,0101000020E61000008F519E7939384DC096422097384A41C0,139,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 1 Micro recorridos 1(MTE),Bondpland,2205,485,BONPLAND 2205,102796.868693,105523.530376,-34.579475,-58.432819,0101000020E6100000310BED9C66374DC0C0EC9E3C2C4A41C0,146,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 7 Palermo (MTE),Billinghurst,1935,,BILLINGHURST 1935,105018.996955,104512.264482,-34.588582,-58.408595,0101000020E6100000912749D74C344DC0D481ACA7564B41C0,614,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 7 Palermo (MTE),Gallo,1057,,GALLO 1057,104726.636086,103528.294136,-34.597453,-58.411776,0101000020E61000008CA37213B5344DC0D4F20357794C41C0,752,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 1 Micro recorridos 1(MTE),JB Justo,889,489,"JUSTO, JUAN B. AV. 889",103154.311379,105387.13545,-34.580703,-58.428923,0101000020E610000048C0E8F2E6364DC034D8D479544A41C0,143,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 7 Palermo (MTE),Sanchez de Bustamante,(1300 Aprox),,SANCHEZ DE BUSTAMANTE 1300,104634.310577,103723.999171,-34.59569,-58.412784,0101000020E6100000F2272A1BD6344DC0F146E6913F4C41C0,98,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 4 Microrecorridos (Ceibo),BORGES,1669,,"BORGES, JORGE LUIS 1669",103110.300517,104547.317733,-34.588274,-58.429399,0101000020E6100000B1F7E28BF6364DC0268BFB8F4C4B41C0,424,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 7 Palermo (MTE),Austria,2541,,AUSTRIA 2541,105852.447449,104933.976418,-34.584776,-58.399514,0101000020E6100000A725564623334DC02BBEA1F0D94A41C0,594,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 1 Recorridos Zona 1 (MTE),Bondpland,1539,419,BONPLAND 1539,102258.364229,104955.534359,-34.584596,-58.438686,0101000020E6100000459BE3DC26384DC0ABAFAE0AD44A41C0,193,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 3 Madreselva,Maure,3 de febrero,,MAURE y 3 DE FEBRERO,102058.453125,106499.78125,-34.570676,-58.440869,0101000020E6100000FD6838656E384DC0594E42E90B4941C0,381,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 3 Madreselva,T. García,2273,,"GARCIA, TEODORO 2273",101750.329365,106809.797315,-34.567882,-58.444227,0101000020E610000006802A6EDC384DC058FE7C5BB04841C0,408,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 7 Palermo (MTE),Beruti,2833,,BERUTI 2833,105379.277992,104271.529373,-34.59075,-58.404667,0101000020E61000009E62D520CC334DC0560E2DB29D4B41C0,655,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 4 Microrecorridos (Ceibo),SOLER,4648,,SOLER 4648,103531.225431,104677.142357,-34.587102,-58.424812,0101000020E61000006479573D60364DC046B58828264B41C0,466,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 2 Palermo (MTE),Cabello,3995,441,CABELLO 3995,104416.177844,105543.286629,-34.579291,-58.415171,0101000020E6100000B29FC55224354DC0FEEE1D35264A41C0,243,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
